iter	Passed	Remaining
0	148	148112
1	148	74289
2	149	49689
3	150	37379
4	150	29992
5	151	25070
6	151	21548
7	152	18909
8	153	16861
9	153	15216
10	154	13873
11	154	12752
12	155	11805
13	156	10990
14	156	10287
15	157	9667
16	157	9121
17	158	8637
18	158	8208
19	159	7822
20	160	7472
21	160	7150
22	161	6859
23	162	6593
24	162	6348
25	163	6119
26	163	5907
27	164	5712
28	165	5531
29	165	5361
30	166	5204
31	167	5059
32	167	4920
33	168	4789
34	169	4663
35	169	4544
36	170	4432
37	170	4326
38	171	4225
39	172	4130
40	172	4040
41	173	3957
42	174	3875
43	174	3796
44	175	3721
45	175	3649
46	176	3580
47	177	3515
48	177	3451
49	178	3390
50	179	3332
51	179	3276
52	180	3224
53	181	3173
54	181	3122
55	182	3073
56	182	3026
57	183	2982
58	184	2941
59	185	2901
60	185	2860
61	186	2820
62	187	2782
63	187	2745
64	188	2708
65	188	2673
66	189	2639
67	189	2602
68	190	2570
69	191	2540
70	191	2509
71	192	2479
72	193	2450
73	193	2422
74	194	2395
75	194	2369
76	195	2343
77	196	2318
78	196	2293
79	197	2269
80	197	2244
81	198	2221
82	199	2198
83	199	2176
84	200	2153
85	200	2133
86	201	2111
87	201	2092
88	202	2072
89	203	2053
90	203	2035
91	204	2016
92	204	1997
93	205	1979
94	206	1962
95	206	1945
96	207	1929
97	207	1913
98	208	1898
99	209	1882
100	209	1866
101	210	1849
102	210	1834
103	211	1822
104	212	1809
105	212	1796
106	213	1782
107	214	1769
108	214	1755
109	215	1742
110	215	1729
111	216	1717
112	217	1705
113	217	1694
114	218	1683
115	219	1670
116	219	1659
117	220	1648
118	221	1636
119	221	1625
120	222	1615
121	223	1605
122	223	1593
123	224	1583
124	224	1573
125	225	1563
126	226	1553
127	226	1542
128	227	1533
129	227	1523
130	228	1515
131	229	1506
132	229	1497
133	230	1488
134	231	1480
135	231	1471
136	232	1462
137	232	1453
138	233	1444
139	233	1436
140	234	1428
141	235	1420
142	235	1411
143	236	1403
144	236	1395
145	237	1387
146	237	1379
147	238	1372
148	239	1365
149	239	1357
150	240	1350
151	240	1343
152	241	1336
153	241	1328
154	242	1321
155	242	1314
156	243	1307
157	244	1301
158	244	1294
159	245	1288
160	246	1282
161	246	1276
162	247	1270
163	247	1263
164	248	1257
165	249	1251
166	249	1245
167	250	1239
168	250	1233
169	251	1228
170	252	1222
171	252	1216
172	253	1210
173	253	1204
174	254	1198
175	254	1193
176	255	1187
177	256	1182
178	256	1177
179	257	1172
180	257	1165
181	258	1159
182	258	1154
183	259	1149
184	259	1144
185	260	1139
186	260	1134
187	261	1130
188	262	1125
189	262	1120
190	263	1115
191	263	1110
192	264	1105
193	265	1101
194	265	1096
195	266	1092
196	266	1087
197	267	1083
198	267	1078
199	268	1074
200	269	1069
201	269	1065
202	270	1060
203	270	1056
204	271	1052
205	271	1047
206	272	1044
207	273	1039
208	273	1035
209	274	1031
